feature,importance
user_segment_Axis_West Bengal_56+,0.0017009588
FLAG_DOCUMENT_8,0.0016999107
user_segment_SBI_Rajasthan_36-45,0.0016991936
ORGANIZATION_TYPE_Hotel,0.0016969764
device_diversity,0.0016960063
user_segment_SBI_Gujarat_18-25,0.0016921019
user_segment_Axis_Andhra Pradesh_18-25,0.0016915151
user_segment_Yes Bank_Delhi_36-45,0.0016908939
user_segment_Kotak_West Bengal_26-35,0.0016878761
user_segment_ICICI_Tamil Nadu_46-55,0.0016838476
HOUR_APPR_PROCESS_START,0.0016834199
user_segment_Kotak_West Bengal_18-25,0.0016827787
REG_REGION_NOT_WORK_REGION,0.001679194
FLAG_DOCUMENT_2,0.0016762252
user_segment_PNB_Karnataka_18-25,0.0016728479
user_segment_HDFC_Gujarat_18-25,0.0016724363
user_segment_PNB_Telangana_46-55,0.0016703946
user_segment_Yes Bank_Tamil Nadu_36-45,0.0016690517
user_segment_Kotak_Gujarat_18-25,0.001668876
user_segment_PNB_Andhra Pradesh_46-55,0.001665202
user_segment_ICICI_Telangana_56+,0.0016632844
NAME_FAMILY_STATUS_Civil marriage,0.0016611024
user_segment_IndusInd_Maharashtra_46-55,0.0016609804
user_segment_PNB_Maharashtra_26-35,0.0016602968
ORGANIZATION_TYPE_Kindergarten,0.0016577032
user_segment_Yes Bank_Karnataka_46-55,0.0016566507
user_segment_HDFC_Uttar Pradesh_46-55,0.0016534976
ORGANIZATION_TYPE_Security,0.0016534617
ORGANIZATION_TYPE_Business Entity Type 3,0.0016519624
ORGANIZATION_TYPE_Culture,0.0016505698
user_segment_IndusInd_West Bengal_56+,0.0016504772
user_segment_ICICI_West Bengal_26-35,0.0016485291
CNT_FAM_MEMBERS,0.0016483665
user_segment_PNB_Gujarat_56+,0.0016471653
EMERGENCYSTATE_MODE_nan,0.0016460139
user_segment_Axis_Maharashtra_56+,0.0016459498
user_segment_Axis_Maharashtra_46-55,0.0016451395
user_segment_ICICI_Tamil Nadu_26-35,0.0016409946
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.001631133
user_segment_HDFC_Maharashtra_46-55,0.0016299137
OCCUPATION_TYPE_Private service staff,0.0016289199
ORGANIZATION_TYPE_Telecom,0.0016286515
user_segment_Axis_Gujarat_56+,0.0016201718
user_segment_SBI_Maharashtra_56+,0.0016193324
ORGANIZATION_TYPE_Transport: type 2,0.0016176158
user_segment_SBI_Rajasthan_18-25,0.0016161985
ORGANIZATION_TYPE_Business Entity Type 2,0.0016084345
user_segment_HDFC_West Bengal_36-45,0.0016060821
user_segment_ICICI_Karnataka_36-45,0.0016031038
user_segment_SBI_Rajasthan_46-55,0.0016004816
user_segment_Kotak_Maharashtra_26-35,0.0016000419
user_segment_IndusInd_West Bengal_36-45,0.0015991469
user_segment_Yes Bank_Telangana_18-25,0.0015987913
user_segment_IndusInd_Delhi_26-35,0.0015959883
ORGANIZATION_TYPE_Government,0.0015917295
user_segment_PNB_Andhra Pradesh_56+,0.0015825265
user_segment_SBI_Andhra Pradesh_56+,0.0015765346
user_segment_PNB_Uttar Pradesh_56+,0.0015748935
user_segment_ICICI_Tamil Nadu_36-45,0.0015678118
user_segment_Axis_Tamil Nadu_18-25,0.0015670671
user_segment_IndusInd_Andhra Pradesh_46-55,0.0015654775
user_segment_ICICI_Delhi_26-35,0.001562847
user_segment_Kotak_Uttar Pradesh_46-55,0.0015610965
OCCUPATION_TYPE_Cooking staff,0.0015606773
user_segment_PNB_Telangana_18-25,0.0015589326
user_segment_HDFC_Rajasthan_26-35,0.0015547036
user_segment_PNB_Tamil Nadu_56+,0.0015531813
user_segment_Axis_Telangana_26-35,0.0015520211
user_segment_IndusInd_Rajasthan_18-25,0.001551392
"NAME_TYPE_SUITE_Spouse, partner",0.0015499378
user_segment_PNB_Maharashtra_18-25,0.0015467164
LIVE_CITY_NOT_WORK_CITY,0.0015455406
user_segment_HDFC_Andhra Pradesh_56+,0.0015450944
user_segment_HDFC_Karnataka_36-45,0.0015405873
user_segment_Yes Bank_Delhi_56+,0.0015397653
user_segment_Kotak_Andhra Pradesh_46-55,0.0015391046
user_segment_Yes Bank_Uttar Pradesh_46-55,0.0015376713
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0015371206
user_segment_PNB_West Bengal_36-45,0.0015355475
ORGANIZATION_TYPE_Trade: type 3,0.0015312888
user_segment_Axis_Tamil Nadu_26-35,0.0015310295
user_segment_IndusInd_Telangana_56+,0.00152639
user_segment_HDFC_Delhi_36-45,0.0015244962
user_segment_SBI_Maharashtra_26-35,0.001520612
user_segment_Yes Bank_Karnataka_36-45,0.0015162365
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0015124893
OCCUPATION_TYPE_Waiters/barmen staff,0.0015119696
user_segment_Kotak_Telangana_46-55,0.0015109036
ORGANIZATION_TYPE_Trade: type 7,0.0015043406
user_segment_PNB_Maharashtra_36-45,0.0015003018
user_segment_Kotak_Karnataka_56+,0.0014938611
user_segment_Kotak_Uttar Pradesh_36-45,0.0014906235
user_segment_PNB_Delhi_56+,0.0014872284
FLAG_OWN_REALTY_N,0.0014854107
